Timestamp,Gender,Age,Department,Are_you_happy_with_your_department_work_area,Why_did_you_chosen_your_department_work_area,Current_year_you_are_studying_in,Cgpa,Are_you_having_proper_sleep_everyday,How_much_time_are_you_sleeping_everyday,Are_you_getting_good_food_diet_everyday,What_is_your_screen_time,On_what_do_you_spend_your_screen_time_more,From_where_you_are_getting_stress,When_you_are_stressed_more,What_will_you_like_to_do_when_you_are_stressed,How_did_you_felt_during_COVID_19_pandemic_period,concentrate_on_your_work_when_you_are_stressed
25-08-2022 20:56,Female,21,CSE,Yes,Interested,3,9,Yes,8,Yes,5,Other  ( Series/Movies ),Thinking about future,No sleep,Being calm or Being alone,Boring,No
25-08-2022 20:56,Male,21,CSE,No,Interested,3,8.116,Yes,5,No,4,Social Media,Studies/work,About Faculty,Listen's Music,Boring,No
25-08-2022 20:56,Female,19,BBA,Yes,Interested,2,7.13,Yes,8,Yes,10,Other  ( Series/Movies ),Thinking about future,During exams,Sharing feelings with some one and travelling ,Boring,Yes
25-08-2022 20:56,Female,19,ECE,Yes,Future scope,3,8.2,Yes,6,No,4,Social Media,Thinking about future,During exams,Listen's Music,Boring,No
25-08-2022 20:57,Female,19,CSE,Yes,Future scope,3,9,Yes,10,No,5,Social Media,Studies/work,About Faculty,Listen's Music,Boring,No
25-08-2022 20:57,Female,19,CSE,Yes,Future scope,3,7.8,Yes,9,No,5,Social Media,Studies/work,About Faculty,Sleeping,Boring,No
25-08-2022 20:57,Male,19,CSE,Yes,Interested,3,8.37,Yes,8,Yes,2,Studies,Studies/work,During exams,Sharing feelings with someone,Boring,Yes
25-08-2022 20:57,Male,19,CSE,Yes,Interested,3,8.6,Yes,10,Yes,10,Other  ( Series/Movies ),Studies/work,During exams,Listen's Music,Boring,No
25-08-2022 20:57,Male,19,CSE,No,All are choosing so I also chosen,3,9,No,5,No,10,Social Media,PROVIDE ELECTIVES IN OUR COLLEGE NOT IN NPTEL .......MY HUMBLE REQUEST,About Faculty,PLAY CRICKET,"Happy, Boring",No
25-08-2022 20:57,Female,19,CSE,Yes,Interested,3,8.82,Yes,9,Yes,5,Social Media,Studies/work,During exams,Listen's Music,"Depressed, Stressed, Happy, Boring",Yes
25-08-2022 20:58,Female,19,IT,Yes,Future scope,2,8,No,6,Yes,4,Video games,Thinking about future,About Money,Being calm or Being alone,Stressed,No
25-08-2022 20:58,Female,19,FOODTECH,Yes,Interested,3,8.43,Yes,6,No,3,Other  ( Series/Movies ),Studies/work,About Food,Being calm or Being alone,Happy,No
25-08-2022 20:58,Female,19,CSE,Yes,Future scope,3,8.23,No,7,No,4,Social Media,Studies/work,No sleep,Being calm or Being alone,Stressed,No
25-08-2022 20:59,Female,19,CSE,Yes,Interested,2,8.68,No,4,No,5,Studies,Studies/work,About Food,Being calm or Being alone,Boring,No
25-08-2022 21:00,Male,19,CSE,Yes,Future scope,3,8.23,Yes,8,Yes,6,Other  ( Series/Movies ),Thinking about future,About Money,Being calm or Being alone,"Depressed, Boring",Yes
25-08-2022 21:00,Male,19,CSE,No,Future scope,3,8.9,Yes,8,Yes,2,Social Media,Thinking about future,During exams,Being calm or Being alone,Happy,No
25-08-2022 21:00,Female,19,CSE,Yes,Future scope,2,8,No,7,No,4,Other  ( Series/Movies ),Studies/work,About Faculty,Sharing feelings with someone,Boring,Yes
25-08-2022 21:00,Male,19,CSE,Yes,Interested,3,8,No,4,No,3,Other  ( Series/Movies ),Thinking about future,No sleep,Being calm or Being alone,Boring,Yes
25-08-2022 21:01,Male,19,CSE,Yes,Interested,3,8.1,No,3,No,10,Social Media,Studies/work,During exams,Anime,Happy,Yes
25-08-2022 21:01,Male,18,CSE,No,Interested,3,7.87,No,8,No,4,Social Media,Health,About Food,Listen's Music,Happy,No
25-08-2022 21:01,Male,18,CSE,Yes,Future scope,3,7.5,Yes,8,No,2,Social Media,Family,About Money,Listen's Music,Boring,No
25-08-2022 21:01,Male,18,CSE,Yes,Future scope,3,8.13,No,3,No,2,Social Media,Studies/work,About Money,Listen's Music,"Happy, Boring",No
25-08-2022 21:01,Female,18,FOODTECH,Yes,Interested,3,8.8,Yes,3,Yes,4,Social Media,Studies/work,During exams,Listen's Music,Boring,No
25-08-2022 21:02,Male,18,CSE,Yes,Interested,3,7.8,Yes,7,No,5,Social Media,Thinking about future,Threaten,Travelling,Stressed,No
25-08-2022 21:02,Female,18,CSE,Yes,Interested,2,8,Yes,8,No,3,Social Media,Thinking about future,During exams,Listen's Music,Boring,No
25-08-2022 21:03,Female,18,CSE,No,All are choosing so I also chosen,2,9.09,No,4,No,5,Other  ( Series/Movies ),Studies/work,During exams,Being calm or Being alone,Boring,No
25-08-2022 21:03,Male,18,CSE,Yes,Interested,3,7.8,Yes,7,Yes,2,Studies,Studies/work,During exams,Listen's Music,Boring,Yes
25-08-2022 21:03,Male,18,CSE,Yes,Interested,3,7.9,Yes,7,No,5,Social Media,Thinking about future,About Money,Travelling,Boring,Yes
25-08-2022 21:03,Female,18,CSE,Yes,Interested,3,7.67,Yes,7,Yes,4,Other  ( Series/Movies ),Health,No sleep,Sleeping,Happy,No
25-08-2022 21:04,Female,18,CSE,Yes,Future scope,2,8,No,3,No,8,Social Media,Studies/work,During exams,Listen's Music,Boring,No
25-08-2022 21:04,Male,18,CSE,Yes,Interested,3,7.83,Yes,2,No,7,Other  ( Series/Movies ),Thinking about future,During exams,Listen's Music,Boring,No
25-08-2022 21:04,Female,18,BIOTECH,Yes,Interested,3,8,Yes,6,Yes,2,Social Media,Thinking about future,During exams,Listen's Music,Boring,No
25-08-2022 21:04,Female,18,CSE,Yes,Interested,3,7,Yes,6,Yes,5,Social Media,Thinking about future,About Money,Listen's Music,Depressed,No
25-08-2022 21:04,Female,18,BIOTECH,No,Due to Family pressure,3,7.22,Yes,5,No,8,Social Media,Thinking about future,During exams,Listen's Music,Boring,No
25-08-2022 21:04,Male,18,CSE,Yes,Due to Family pressure,3,7.5,Yes,9,Yes,5,Studies,None,About Love,Travelling,Happy,Yes
25-08-2022 21:05,Male,18,IT,No,All are choosing so I also chosen,4,8,Yes,6,No,10,Studies,Thinking about future,About Money,Being calm or Being alone,"Stressed, Happy, Boring",No
25-08-2022 21:05,Female,18,BIOTECH,Yes,Interested,3,7.58,Yes,7,Yes,5,Social Media,Thinking about future,During exams,Listen's Music,Boring,No
25-08-2022 21:05,Male,18,CSE,No,Future scope,2,8,No,8,No,4,Social Media,Health,No sleep,Being calm or Being alone,Boring,No
25-08-2022 21:05,Male,18,CSE,Yes,Future scope,3,9,Yes,8,No,10,Social Media,Thinking about future,About Food,Being calm or Being alone,"Happy, Boring",No
25-08-2022 21:05,Female,19,CSE,Yes,Future scope,2,8,No,5,No,4,Social Media,Studies/work,During exams,Listen's Music,Boring,No
25-08-2022 21:05,Male,19,CSE,Yes,Future scope,3,9.11,No,5,No,5,Other  ( Series/Movies ),Hostel life ,No sleep,Listen's Music,Happy,No
25-08-2022 21:06,Male,19,BIOTECH,No,Future scope,3,7.56,Yes,8,No,5,Other  ( Series/Movies ),Studies/work,About Faculty,Doing any physical activity,"Happy, Boring",No
