,Song,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Cluster
498,Is This,Kalabrese,0.811,0.382,9,-15.661,0,0.0526,0.261,0.756,0.086,0.253,113.988,audio_features,7MiVpEYwAeVyf0hBCJjBkj,spotify:track:7MiVpEYwAeVyf0hBCJjBkj,https://api.spotify.com/v1/tracks/7MiVpEYwAeVyf0hBCJjBkj,https://api.spotify.com/v1/audio-analysis/7MiVpEYwAeVyf0hBCJjBkj,414319,4,Cluster 1
499,Sordid Affair,Röyksopp,0.584,0.493,10,-10.079,0,0.0283,0.00485,0.508,0.106,0.293,128.009,audio_features,5sMw99s7oDvFZ9R368fct4,spotify:track:5sMw99s7oDvFZ9R368fct4,https://api.spotify.com/v1/tracks/5sMw99s7oDvFZ9R368fct4,https://api.spotify.com/v1/audio-analysis/5sMw99s7oDvFZ9R368fct4,380051,4,Cluster 1
500,Yağmur - Original Mix,Sinem,0.618,0.498,10,-7.604,1,0.0315,0.776,3.02e-06,0.391,0.165,125.919,audio_features,44b0srFp3Ah6ikCxrCp8LD,spotify:track:44b0srFp3Ah6ikCxrCp8LD,https://api.spotify.com/v1/tracks/44b0srFp3Ah6ikCxrCp8LD,https://api.spotify.com/v1/audio-analysis/44b0srFp3Ah6ikCxrCp8LD,290307,4,Cluster 3
501,Bul Beni (Akustik),Canozan,0.712,0.375,6,-13.681,0,0.0376,0.836,0.069,0.115,0.271,122.063,audio_features,05Q2f7D1WHIWdATmrDY9nR,spotify:track:05Q2f7D1WHIWdATmrDY9nR,https://api.spotify.com/v1/tracks/05Q2f7D1WHIWdATmrDY9nR,https://api.spotify.com/v1/audio-analysis/05Q2f7D1WHIWdATmrDY9nR,226229,4,Cluster 1
502,Straight To The Heart,Bedouin,0.751,0.665,4,-10.35,0,0.0519,0.0156,0.849,0.0934,0.0589,115.995,audio_features,1rQzgEIUunLMvAUSYJIzyl,spotify:track:1rQzgEIUunLMvAUSYJIzyl,https://api.spotify.com/v1/tracks/1rQzgEIUunLMvAUSYJIzyl,https://api.spotify.com/v1/audio-analysis/1rQzgEIUunLMvAUSYJIzyl,437849,4,Cluster 1
503,Yam,Satori,0.649,0.597,11,-10.667,0,0.0336,0.00378,0.877,0.111,0.246,114.009,audio_features,5611kGfXxWTSKXhK8GGtZ6,spotify:track:5611kGfXxWTSKXhK8GGtZ6,https://api.spotify.com/v1/tracks/5611kGfXxWTSKXhK8GGtZ6,https://api.spotify.com/v1/audio-analysis/5611kGfXxWTSKXhK8GGtZ6,573385,4,Cluster 1
504,Mice,Billie Marten,0.53,0.2,5,-12.473,1,0.0468,0.712,1.07e-05,0.0859,0.357,61.255,audio_features,3PhvB8RB0Y7oPZUd7RCpP7,spotify:track:3PhvB8RB0Y7oPZUd7RCpP7,https://api.spotify.com/v1/tracks/3PhvB8RB0Y7oPZUd7RCpP7,https://api.spotify.com/v1/audio-analysis/3PhvB8RB0Y7oPZUd7RCpP7,244267,4,Cluster 3
505,Can't Get You out of My Head,Glimmer of Blooms,0.625,0.411,2,-14.242,0,0.04,0.32,0.0211,0.0948,0.166,109.047,audio_features,36vmjzpqqcH4zryJPlyHwP,spotify:track:36vmjzpqqcH4zryJPlyHwP,https://api.spotify.com/v1/tracks/36vmjzpqqcH4zryJPlyHwP,https://api.spotify.com/v1/audio-analysis/36vmjzpqqcH4zryJPlyHwP,200438,4,Cluster 1
506,Hiç Olmuşsun,Melis Güven,0.716,0.45,5,-8.323,0,0.0342,0.049,0.17,0.116,0.24,90.025,audio_features,2SVZ9PiWFgvBj95gyMUM1J,spotify:track:2SVZ9PiWFgvBj95gyMUM1J,https://api.spotify.com/v1/tracks/2SVZ9PiWFgvBj95gyMUM1J,https://api.spotify.com/v1/audio-analysis/2SVZ9PiWFgvBj95gyMUM1J,279893,4,Cluster 1
507,"Fire On Fire - From ""Watership Down""",Sam Smith,0.584,0.407,1,-7.356,0,0.046,0.476,0.0,0.18,0.341,115.124,audio_features,5rFj8OzffT0iggSjcBaeND,spotify:track:5rFj8OzffT0iggSjcBaeND,https://api.spotify.com/v1/tracks/5rFj8OzffT0iggSjcBaeND,https://api.spotify.com/v1/audio-analysis/5rFj8OzffT0iggSjcBaeND,246735,4,Cluster 3
508,Sometimes I Don't Regret,Marsmobil,0.743,0.465,6,-8.336,0,0.0639,0.00749,0.716,0.0823,0.807,157.942,audio_features,04MbxqkeGP8hSMCl3CfCXQ,spotify:track:04MbxqkeGP8hSMCl3CfCXQ,https://api.spotify.com/v1/tracks/04MbxqkeGP8hSMCl3CfCXQ,https://api.spotify.com/v1/audio-analysis/04MbxqkeGP8hSMCl3CfCXQ,194373,4,Cluster 1
509,Sanctuary feat. Stereo MC's,Anja Schneider,0.794,0.732,1,-7.518,0,0.0592,0.00244,0.803,0.0865,0.281,124.006,audio_features,3zmdfavQzltlpyIoVP6hqj,spotify:track:3zmdfavQzltlpyIoVP6hqj,https://api.spotify.com/v1/tracks/3zmdfavQzltlpyIoVP6hqj,https://api.spotify.com/v1/audio-analysis/3zmdfavQzltlpyIoVP6hqj,433950,4,Cluster 1
510,Years of Silence,Thurisaz,0.26,0.738,1,-7.454,0,0.0378,0.283,0.0782,0.0799,0.242,117.157,audio_features,5WSqNyypJ0hITVpvJMetqQ,spotify:track:5WSqNyypJ0hITVpvJMetqQ,https://api.spotify.com/v1/tracks/5WSqNyypJ0hITVpvJMetqQ,https://api.spotify.com/v1/audio-analysis/5WSqNyypJ0hITVpvJMetqQ,431293,3,Cluster 3
511,Back to You,Goapele,0.602,0.647,9,-6.829,0,0.0627,0.347,0.000134,0.125,0.523,78.478,audio_features,13AOWBnFCAtch1eTeKn87x,spotify:track:13AOWBnFCAtch1eTeKn87x,https://api.spotify.com/v1/tracks/13AOWBnFCAtch1eTeKn87x,https://api.spotify.com/v1/audio-analysis/13AOWBnFCAtch1eTeKn87x,256960,4,Cluster 3
512,Magnetic Road,AaRON,0.441,0.4,2,-10.642,0,0.0359,0.499,0.571,0.0999,0.182,80.013,audio_features,7gJDbd73FmsjnRcspCHAZj,spotify:track:7gJDbd73FmsjnRcspCHAZj,https://api.spotify.com/v1/tracks/7gJDbd73FmsjnRcspCHAZj,https://api.spotify.com/v1/audio-analysis/7gJDbd73FmsjnRcspCHAZj,274947,4,Cluster 3
513,Koridor,Şebnem Ferah,0.424,0.298,2,-7.001,0,0.0267,0.786,4.61e-05,0.076,0.142,75.99,audio_features,2Z9wuWeQ55VnRNdiEMeB97,spotify:track:2Z9wuWeQ55VnRNdiEMeB97,https://api.spotify.com/v1/tracks/2Z9wuWeQ55VnRNdiEMeB97,https://api.spotify.com/v1/audio-analysis/2Z9wuWeQ55VnRNdiEMeB97,203079,3,Cluster 3
514,Sen Istersin,Sedef Sebüktekin,0.782,0.343,2,-16.165,1,0.0601,0.753,0.00577,0.0844,0.501,99.97,audio_features,1wMvP4KuZOcA3kum0TE6x6,spotify:track:1wMvP4KuZOcA3kum0TE6x6,https://api.spotify.com/v1/tracks/1wMvP4KuZOcA3kum0TE6x6,https://api.spotify.com/v1/audio-analysis/1wMvP4KuZOcA3kum0TE6x6,203400,4,Cluster 1
