code,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct_x,population_size,number_of_jobs,area_size,no_of_houses,borough_flag,mean_recycle_pct,extended_pop_size,number_of_jobs_mean,total_hectar,recycling_pct_y
E09000001,city of london,2003-12-01,41795.0,6.739875039075296,64272.0,8.0,253036.0,150000.0,1300380.0,5126.0,1,23.75," 7,798 ","412,000",315,23.75
E09000002,barking and dagenham,2003-12-01,25358.0,6.821728016098106,27792.0,5.0,253036.0,150000.0,1300380.0,68837.0,1,18.7," 190,533 ","54,500","3,780",18.7
E09000003,barnet,2003-12-01,23828.0,6.515598222047358,30518.0,16.0,253036.0,150000.0,1300380.0,131883.0,1,27.2," 355,461 ","145,000","8,675",27.200000000000003
E09000004,bexley,2003-12-01,22247.0,6.554288679368967,24723.0,21.0,253036.0,150000.0,1300380.0,92223.0,1,41.5," 232,682 ","79,500","6,429",41.5
E09000005,brent,2003-12-01,23018.0,6.720017794024118,29790.0,10.0,253036.0,150000.0,1300380.0,103846.0,1,25.35," 307,220 ","120,500","4,323",25.35
E09000006,bromley,2003-12-01,19042.0,6.513244670987651,25474.0,20.0,253036.0,150000.0,1300380.0,129314.0,1,35.05," 312,248 ","125,500","15,013",35.05
E09000007,camden,2003-12-01,30002.0,6.586689074944853,38106.0,19.0,253036.0,150000.0,1300380.0,94460.0,1,25.15," 210,941 ","320,000","2,179",25.15
E09000008,croydon,2003-12-01,22838.0,6.921591495807393,26920.0,14.0,253036.0,150000.0,1300380.0,141819.0,1,27.8," 363,545 ","147,000","8,650",27.799999999999997
E09000009,ealing,2003-12-01,24349.0,6.631080204653558,30117.0,15.0,253036.0,150000.0,1300380.0,120922.0,1,31.3," 337,910 ","144,000","5,554",31.299999999999997
E09000010,enfield,2003-12-01,22463.0,6.700743264047312,25595.0,16.0,253036.0,150000.0,1300380.0,115274.0,1,27.65," 307,073 ","114,500","8,220",27.65
E09000011,greenwich,2003-12-01,23600.0,6.883880068979819,26002.0,12.0,253036.0,150000.0,1300380.0,96746.0,1,26.75," 254,017 ","82,000","5,044",26.75
E09000012,hackney,2003-12-01,25149.0,6.7982343936692,31035.0,6.0,253036.0,150000.0,1300380.0,90216.0,1,18.0," 237,843 ","109,500","1,905",18.0
E09000013,hammersmith and fulham,2003-12-01,29831.0,6.545463501455215,35226.0,16.0,253036.0,150000.0,1300380.0,77609.0,1,20.6," 178,334 ","139,500","1,715",20.6
E09000014,haringey,2003-12-01,22422.0,6.955333637547885,24551.0,9.0,253036.0,150000.0,1300380.0,95142.0,1,22.65," 247,026 ","81,500","2,960",22.65
E09000015,harrow,2003-12-01,22796.0,6.942927710552365,27980.0,16.0,253036.0,150000.0,1300380.0,81524.0,1,33.2," 237,234 ","82,000","5,046",33.2
E09000016,havering,2003-12-01,18250.0,6.8015520725253324,21167.0,8.0,253036.0,150000.0,1300380.0,94553.0,1,24.2," 241,560 ","90,500","11,446",24.2
E09000017,hillingdon,2003-12-01,26774.0,6.584707147867612,30875.0,34.0,253036.0,150000.0,1300380.0,99766.0,1,34.1," 275,669 ","202,000","11,570",34.1
E09000018,hounslow,2003-12-01,26019.0,6.640642131889027,33322.0,20.0,253036.0,150000.0,1300380.0,87433.0,1,25.9," 253,036 ","150,000","5,659",25.9
E09000019,islington,2003-12-01,33579.0,6.909402604412099,49632.0,7.0,253036.0,150000.0,1300380.0,85984.0,1,22.0," 200,758 ","205,500","1,486",22.0
E09000020,kensington and chelsea,2003-12-01,26213.0,6.733307030621376,35812.0,15.0,253036.0,150000.0,1300380.0,83965.0,1,22.6," 154,609 ","141,000","1,238",22.6
E09000021,kingston upon thames,2003-12-01,23813.0,6.842030926681228,32569.0,19.0,253036.0,150000.0,1300380.0,62868.0,1,34.4," 159,166 ","85,000","3,726",34.4
E09000022,lambeth,2003-12-01,26034.0,6.886443732495241,32702.0,12.0,253036.0,150000.0,1300380.0,122013.0,1,21.6," 298,512 ","150,500","2,725",21.6
E09000023,lewisham,2003-12-01,22069.0,6.931648460195583,25320.0,8.0,253036.0,150000.0,1300380.0,109746.0,1,15.2," 277,264 ","79,500","3,532",15.2
E09000024,merton,2003-12-01,22959.0,6.740457932103998,30607.0,15.0,253036.0,150000.0,1300380.0,80475.0,1,28.45," 202,277 ","87,500","3,762",28.450000000000003
E09000025,newham,2003-12-01,22792.0,6.721676155344305,26461.0,2.0,253036.0,150000.0,1300380.0,95491.0,1,12.4," 303,632 ","86,500","3,857",12.399999999999999
E09000026,redbridge,2003-12-01,23407.0,6.906868268384701,26086.0,9.0,253036.0,150000.0,1300380.0,95500.0,1,21.65," 277,852 ","84,000","5,644",21.65
E09000027,richmond upon thames,2003-12-01,25549.0,6.51142918085107,29463.0,24.0,253036.0,150000.0,1300380.0,78957.0,1,35.421052631578945," 185,702 ","91,000","5,876",35.421052631578945
E09000028,southwark,2003-12-01,29307.0,6.7966783044706665,32241.0,7.0,253036.0,150000.0,1300380.0,108467.0,1,20.9," 284,351 ","246,000","2,991",20.9
E09000029,sutton,2003-12-01,24455.0,6.819690787584364,27147.0,25.0,253036.0,150000.0,1300380.0,77856.0,1,32.95," 194,087 ","78,000","4,385",32.95
